node_1,node_2
pneumonia@Disease,CRP@Gene
fever@Disease,CRP@Gene
fibrosis@Disease,PTX3@Gene
SARS-CoV infection@Disease,IFN@Gene
pneumonia@Disease,COPD@Gene
respiratory virus infection@Disease,CD8@Gene
pneumonia@Disease,IP-10@Gene
dengue fever@Disease,TNF-alpha@Gene
SARS-CoV infection@Disease,ACE2@Gene
diarrhea@Disease,milk@Gene
respiratory virus infections@Disease,CD8@Gene
fibrosis@Disease,ACE2@Gene
pneumonia@Disease,C-reactive protein@Gene
diarrhea@Disease,pigs@Gene
pneumonia@Disease,IL-6@Gene
pneumonia@Disease,HCAP@Gene
pneumoniae infection@Disease,IFN-alpha@Gene
dengue hemorrhagic fever@Disease,TNF-alpha@Gene
respiratory syndrome@Disease,SARS@Gene
pneumonia@Disease,hDPP4@Gene
diarrhea@Disease,ETEC@Gene
fibrosis@Disease,TGF-beta1@Gene
dengue fever@Disease,IFN-gamma@Gene
coronavirus infection@Disease,IFN@Gene
pneumonia@Disease,miR@Gene
fibrosis@Disease,vimentin@Gene
pneumonia@Disease,DPP4@Gene
diarrhea@Disease,SAA@Gene
bronchitis@Disease,COPD@Gene
fibrosis@Disease,TGF-beta@Gene
fever@Disease,pigs@Gene
fever@Disease,IL-6@Gene
dengue fever@Disease,Dectin 1@Gene
pneumonia@Disease,SARS@Gene
fibrosis@Disease,miR@Gene
fever@Disease,C-reactive protein@Gene
cystic fibrosis@Disease,CFTR@Gene
liver fibrosis@Disease,PTX3@Gene
respiratory infection@Disease,IL-8@Gene
viral pneumonia@Disease,CRP@Gene
pulmonary fibrosis@Disease,TGF-beta1@Gene
respiratory failure@Disease,COPD@Gene
CHRONIC DIARRHEA T@Disease,PID@Gene
respiratory failure@Disease,CRP@Gene
respiratory infection@Disease,CD4@Gene
diarrhea@Disease,ADG@Gene
dengue hemorrhagic fever@Disease,IFN-gamma@Gene
dengue fever@Disease,SARS@Gene
pneumonia@Disease,IL-8@Gene
Fever@Disease,MOZ@Gene
SARS-CoV infection@Disease,CD8@Gene
fibrosis@Disease,Ang II@Gene
diarrhea@Disease,NSP4@Gene
pneumonia@Disease,ACE2@Gene
respiratory infection@Disease,CD8@Gene
dengue fever@Disease,CD209@Gene
pneumonia@Disease,spp@Gene
SARS-CoV infection@Disease,TRIF@Gene
pneumonia@Disease,IFN-gamma@Gene
Ebola virus infection@Disease,IgG@Gene
respiratory infections@Disease,CD8@Gene
SARS-CoV infection@Disease,SARS@Gene
dengue hemorrhagic fever@Disease,Dectin 1@Gene
fever@Disease,AST@Gene
kidney fibrosis@Disease,DPP-4@Gene
fever@Disease,IFN@Gene
dengue fever@Disease,IL-1beta@Gene
dengue fever@Disease,IL-6@Gene
fibrosis@Disease,DPP-4@Gene
SARS-CoV infection@Disease,STAT1@Gene
pneumonia@Disease,IL10@Gene
diarrhea@Disease,spp@Gene
coronavirus infection@Disease,CD8@Gene
SARS-CoV infection@Disease,TLR4@Gene
pneumonia@Disease,HMGB1@Gene
SARS-CoV infection@Disease,CD4@Gene
fibrosis@Disease,COPD@Gene
Oryctolagus cuniculus    SARS coronavirus   AID@Disease,AID@Gene
bacterial pneumonia@Disease,CRP@Gene
respiratory infection@Disease,COPD@Gene
pneumonia@Disease,IL-10@Gene
fibrosis@Disease,insulin@Gene
SARS-CoV infection@Disease,hACE2@Gene
hemorrhagic fever@Disease,TfR1@Gene
SARS-CoV infection@Disease,TLR3@Gene
respiratory disease@Disease,hDPP4@Gene
fibrosis@Disease,IFN@Gene
